title,description,price,curriculum,instructor
Frameworks for Effective Problem Solving,"Master the art of structured thinking to tackle complex challenges effectively. This course covers essential frameworks like SMART, MECE, and Issue Trees, guiding you in defining and solving problem statements while avoiding common pitfalls. Learn practical, step-by-step methods to enhance decision-making and problem-solving skills.",Free,"Introduction, Problem Identification, Frameworks","Ajoy Singh - Chief AI Officer, Fractal Analytics"
Anyone can Build AI Agents - Free Course,"Unlock the power of AI without any programming! This beginner-friendly course is designed for individuals who want to harness Generative AI’s potential without diving into code. In this course, you’ll learn to create, deploy, and customize an AI agent using an intuitive no-code platform Wordware. Step by step, we’ll guide you through setting up your agent to handle real-world tasks.",Free,A for Agents,"Apoorv Vishnoi - Head of Training, Analytics Vidhya"
A Comprehensive Learning Path to Become a Data Analyst in 2025,Where do I begin? Data Analyst is such a huge field - where do you even start learning about Data Analyst?,Free,"Overview of the Learning Path 2025,Data Analyst Toolkit,Data Visualization,Data Exploration,Advanced Data Anlysis and Foundation of Machine Learning","Kunal Jain, Founder & CEO, Analytics Vidhya"
Reimagining GenAI: Common Mistakes and Best Practices for Success,"Generative AI is transforming industries, but implementation challenges often hinder its success. This course, led by experienced GenAI expert Shabazz Mohammed, dives deep into the pitfalls of adopting generative AI and provides actionable best practices to overcome them.",Free,Common Mistake and Best practices ,Shahebaz Mohammad - Applied Machine Learning Engineer at Snorkel AI
Coding a ChatGPT-style Language Model from Scratch in PyTorch,"Master the art of building a ChatGPT-style language model from scratch with PyTorch. In this course, you'll explore essential NLP concepts, implement transformers, and create a decoder-only architecture step-by-step. Guided by expert tutorials, gain practical skills to develop advanced AI models tailored for real-world applications.",Free,Coding a ChatGPT,Dr. Joshua Starmer - Co-Founder and CEO of Statsquest
Mastering Multilingual GenAI Open-Weights for Indic Languages,,Free,Mastering Multilingual GenAI,Instructor 6
Learning Autonomous Driving Behaviors with LLMs & RL,"This course dives into the development of autonomous driving behaviors using Reinforcement Learning (RL) and Large Language Models (LLMs). You’ll explore how RL agents are trained to navigate complex, real-world environments while making safe, human-like driving decisions. The course tackles key challenges such as designing effective reward systems, ensuring safety in high-speed driving scenarios, and improving the interpretability of AI decisions. Through practical projects, you will design RL agents using techniques like Deep Q-Networks (DQN), experience replay, and integrate LLMs to enhance decision-making.",Free,Learning Autonomous Driving Behaviors with LLMs & RL,Mayank Baranwal - Senior Scientist at TCS Research | Adjunct Professor at IITB | INAE Young Associate | UIUC | IITK
GenAI Applied to Quantitative Finance: For Control Implementation,"This course explores the application of Generative AI in quantitative finance, focusing on building sustainable trading algorithms through keyword extraction, sentiment analysis, and time-series forecasting. Learn to predict commodity prices, such as gold, by integrating data from financial news sources, leveraging sentiment analysis, and optimizing models for robust trading signals.",Free,Gen AI Applied to Quantitative Finance,"Sidharth Kumar, Principal Data Scientist at Intuit"
"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy","This course provides a concise guide to optimizing Large Language Models (LLMs) by navigating tradeoffs in speed, cost, scale, and accuracy. Learn practical techniques like LoRA, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. You'll explore various deployment strategies and understand how to evaluate LLMs using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable AI solutions.",Free,Navigating LLM Tradeoffs,Kartik Nighania - MLOps Engineer at Typewise|Certified AWS Cloud and Kubernetes Engineer
Creating Problem-Solving Agents using GenAI for Action Composition,"This introductory course provides a concise overview of Agentic AI systems, covering their evolution, current state, and practical applications. You will explore key topics including the history of Agentic AI systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action",Free,Creating Problem-Solving Agents using GenAI for Action Composition,Vikas Agrawal - Senior Principal Data Scientist at Oracle Analytics Cloud
